stress,l1_angle,edge,ring,tsne,index
36.925083,46.506477,0.11476539,49.181366,0.08055652,10216
818.44604,154.40265,0.38246152,467.92352,0.31948563,10217
25.910526,29.106789,0.1280703,38.006676,0.06902595,10218
251.30286,102.56789,0.27653947,216.42761,0.22370395,10219
39.03945,37.42368,0.422972,43.71535,0.118573025,10220
201.07562,78.79564,0.18985374,211.72478,0.211037,10221
46.92857,44.8506,0.18656747,59.291462,0.097718865,10222
446.53964,93.56439,0.38845432,294.78348,0.1906812,10223
177.10512,54.77029,0.2187607,115.62198,0.1626222,10224
133.5044,73.464195,0.30504093,139.21231,0.14513925,10225
111.14914,58.568172,0.17018038,80.955956,0.11264103,10226
43.386692,27.02305,0.49075812,37.88635,0.10657976,10227
128.64294,52.438637,0.18584639,121.68419,0.17058316,10228
350.34967,87.79996,0.30842775,212.60057,0.19372812,10229
1330.9114,146.82826,0.43211073,597.76843,0.33726987,10230
151.39626,83.108536,0.23035447,130.90788,0.16258943,10231
592.78375,160.01915,0.36713856,480.55664,0.2532935,10232
627.67914,145.25394,0.2887352,463.122,0.26047802,10233
433.96973,117.91797,0.38033116,330.38763,0.270558,10234
253.44444,90.61075,0.22412498,236.028,0.21914363,10235
58.90423,36.83904,0.23399733,61.979,0.10368092,10236
17.095806,29.632711,0.22653358,16.874727,0.07634656,10237
39.21576,41.464027,0.25544667,56.46128,0.11528404,10238
693.87427,166.3921,0.2564413,516.50574,0.25091845,10239
789.42773,130.94156,0.34426504,487.92978,0.2663309,10240
588.62933,129.83589,0.25113577,318.3536,0.24306521,10241
151.98804,62.9654,0.22325665,133.1437,0.15867423,10242
325.2637,108.01536,0.22995847,248.65372,0.19338259,10243
772.6384,149.08879,0.30008733,547.9629,0.31339285,10244
809.3659,138.85257,0.27631417,452.24063,0.31280905,10245
97.61856,53.982277,0.22178984,96.51638,0.16056244,10246
314.72427,87.428566,0.26837957,200.25671,0.17187728,10247
737.4934,141.41478,0.2875417,463.69482,0.27705753,10248
350.24576,111.123505,0.28844824,307.82367,0.21145733,10249
543.276,149.20433,0.23974922,364.66672,0.2519067,10250
501.29605,113.22068,0.23771054,383.11838,0.24467014,10251
18.150587,17.28844,0.14601472,19.579859,0.09946688,10252
94.15042,40.215965,0.31401515,66.50524,0.12081317,10253
485.17065,130.69186,0.2570534,410.34265,0.27291644,10254
972.34033,145.58041,0.35472786,555.28314,0.2986479,10255
1003.49603,186.46042,0.3195855,704.68567,0.31311813,10256
36.565594,30.090183,0.4723639,36.34094,0.10691783,10257
83.46507,58.744102,0.2106367,73.34532,0.12106926,10258
303.4157,99.96399,0.24847963,246.37375,0.19927946,10259
265.60052,84.25687,0.20211841,176.91145,0.1333495,10260
710.40955,136.87033,0.30046204,429.56003,0.26898775,10261
686.5467,153.3065,0.34690708,420.09882,0.26569125,10262
163.90263,69.98369,0.1957128,157.39842,0.17288272,10263
160.33813,88.90499,0.21614647,163.24905,0.15775403,10264
38.442123,34.47322,0.23474242,34.77694,0.078420036,10265
1045.119,180.36047,0.37968,666.2812,0.30907333,10266
60.27636,59.828133,0.13701841,65.55067,0.09738632,10267
104.26778,73.02489,0.17796937,112.30019,0.13781908,10268
50.40768,38.27018,0.12690593,66.545715,0.10059092,10269
197.0748,76.96405,0.29623792,178.88348,0.19292822,10270
140.2997,65.130165,0.2608569,127.72083,0.17698517,10271
99.57834,56.311394,0.20233987,129.64742,0.15274423,10272
195.06226,91.16365,0.21617198,158.48592,0.17528,10273
243.58606,80.89055,0.19169205,208.01863,0.17651066,10274
50.305977,39.10359,0.116413414,57.30727,0.085867755,10275
103.95493,58.68867,0.22183186,77.71207,0.17329338,10276
78.65281,51.638973,0.14794788,90.82321,0.120701075,10277
775.21936,150.86978,0.2618851,538.5443,0.2744136,10278
209.17586,81.387886,0.24811187,182.45335,0.20044664,10279
1280.8295,200.24759,0.3817708,817.68256,0.32843223,10280
230.10135,85.85496,0.22476757,179.88136,0.1857066,10281
193.88515,81.752556,0.19572821,185.7333,0.13748279,10282
103.83388,59.684074,0.123568244,81.45242,0.10224111,10283
