stress,l1_angle,edge,ring,tsne,index
44.797623,31.881397,0.12774098,60.29352,0.10559414,10079
161.50053,86.104904,0.21017274,184.62848,0.21684349,10080
62.1541,25.913143,0.12758134,83.5229,0.22422723,10081
10.075539,25.254492,0.10652019,27.23872,0.080327496,10082
83.903656,53.786217,0.21572983,96.655716,0.18236744,10083
616.4402,104.66911,0.31357566,397.5335,0.3546605,10084
164.97641,79.86119,0.2593728,179.5018,0.22729927,10085
320.71808,106.18732,0.21784145,313.98035,0.3404361,10086
96.04932,42.362324,0.092092454,113.987015,0.2496999,10087
650.3833,128.81573,0.26135135,456.43884,0.2966667,10088
408.9818,134.59439,0.23260792,378.62323,0.2747209,10089
199.62921,73.99505,0.1970289,182.24835,0.19863869,10090
4.56083,17.864399,0.08184695,15.579884,0.04587587,10091
104.68733,53.08408,0.178667,113.76865,0.2441048,10092
502.3922,119.03633,0.2624203,352.45477,0.2771924,10093
299.20804,86.062996,0.23816703,244.19562,0.23698235,10094
18.461262,46.388657,0.105842985,47.523453,0.14968857,10095
1175.8408,171.0512,0.28823,686.036,0.3684358,10096
143.20743,61.14423,0.2795201,135.63844,0.24781522,10097
390.20068,139.2781,0.20144027,333.27664,0.314147,10098
368.4308,132.41005,0.29871613,359.97656,0.25791067,10099
855.71643,147.77576,0.27387702,631.20154,0.32456312,10100
6.210361,10.99889,0.076226234,19.9383,0.13651317,10101
76.17558,70.74994,0.17925176,98.418015,0.1509476,10102
8.2942,26.180393,0.13095932,22.477589,0.092929885,10103
68.24144,23.715227,0.06524525,84.72977,0.2482484,10104
87.06494,51.166275,0.22746788,104.785995,0.16106829,10105
11.688338,15.843464,0.060318705,31.659126,0.11353495,10106
38.139816,35.302517,0.098401934,69.263535,0.13774079,10107
128.8309,58.200138,0.16044661,140.53629,0.23181951,10108
165.39555,80.92399,0.19567162,179.90515,0.20265272,10109
30.959536,28.975056,0.18817206,48.37359,0.16291785,10110
1030.0157,161.62817,0.26537344,664.865,0.33030385,10111
19.778593,29.121788,0.23039536,33.267097,0.16760308,10112
243.5718,94.10545,0.2382973,239.97021,0.22208828,10113
