stress,l1_angle,edge,ring,tsne,index
165.36214,73.759125,0.6376751,121.70661,0.30204237,10155
399.31375,86.77565,1.1656387,214.11893,0.24376804,10156
355.66125,123.43549,0.7377354,182.99547,0.17449895,10157
59.995483,43.034576,0.39406502,62.300022,0.17906287,10158
853.8312,169.91101,1.2311337,460.25156,0.30192584,10159
337.91296,92.385666,0.9429678,169.06972,0.2587459,10160
573.3231,118.805405,0.1914165,337.0101,0.2557661,10161
988.85583,165.1229,0.26580542,572.99365,0.27284685,10162
389.29523,114.09091,1.0391726,201.3957,0.21315786,10163
349.3925,99.1889,1.0355612,172.6726,0.24903063,10164
769.8196,117.87502,1.1098095,287.90607,0.30760452,10165
169.79771,63.96619,0.72660315,108.939514,0.36636,10166
399.67694,102.849144,1.3849072,218.53195,0.27159846,10167
374.80295,97.77371,1.0483854,204.0041,0.46955857,10168
1615.1478,166.72762,1.4178128,637.7765,0.3804007,10169
442.91992,109.299904,0.23265754,250.42679,0.23088516,10170
376.45465,103.65355,1.047607,222.01039,0.41341868,10171
1136.2374,170.95712,0.73384804,489.50684,0.2834091,10172
483.6999,139.16144,0.19893415,393.7171,0.20334327,10173
1342.3325,168.78468,0.98385316,654.15967,0.31601584,10174
942.42786,157.11395,0.19786847,570.0656,0.26669592,10175
516.859,124.36642,0.7777338,278.0564,0.28997514,10176
95.80607,62.031723,0.52165425,70.89677,0.34809637,10177
692.87744,166.17854,1.3219308,343.91003,0.29224753,10178
550.0552,135.21016,0.2622266,369.2743,0.21214493,10179
144.7322,78.95168,0.20088674,107.279045,0.14618526,10180
553.7761,111.618416,0.22102407,349.52753,0.2551356,10181
466.39526,128.11346,0.2456031,319.68823,0.21985056,10182
109.60448,59.14425,0.50935405,81.78501,0.3275057,10183
612.6758,119.14925,0.16398285,372.59772,0.20959412,10184
640.1299,135.49608,0.23149365,461.6402,0.27517083,10185
746.7248,130.24236,0.23149312,422.2631,0.27844703,10186
1321.7866,185.11966,0.8835285,684.6259,0.27479696,10187
