index,stress,l1_angle,edge,ring,tsne,xing
10232,374.94424,148.15543,0.12397746,396.46698,0.2219883275358215,97.0
10233,426.48685,122.222595,0.117243215,396.92346,0.239085416152933,79.0
10234,336.57956,112.911415,0.14602849,296.92117,0.2647286205113986,68.0
10235,184.38345,73.83841,0.10968304,209.08583,0.1990104476576133,27.0
10236,23.162638,31.104006,0.036888607,51.796135,0.0944079762029397,1.0
10237,0.6058717,9.485342,0.0059132413,14.408199,0.0450375068419451,0.0
10238,17.356667,40.394764,0.04055821,48.446938,0.1144142695342731,5.0
10239,620.93396,139.67374,0.11723328,468.1392,0.2704296552576651,78.0
10240,515.35345,112.60643,0.12232883,397.15314,0.2631863240264878,43.0
10241,383.39816,106.07796,0.093383916,279.17505,0.2456213479001966,31.0
10242,78.13181,39.227764,0.058945578,113.87038,0.1486609435878339,5.0
10243,200.03983,94.55585,0.09108326,207.78569,0.1698197465598937,20.0
10244,669.9031,125.980225,0.19014485,496.77188,0.3018637699735667,99.0
10245,597.041,113.70979,0.12811543,367.0295,0.2733326190017172,43.0
10246,59.537636,36.27953,0.067037374,83.6494,0.1541359157823592,5.0
10247,142.56927,65.99906,0.056654133,166.8924,0.1565414912779344,12.0
10248,514.25696,131.02116,0.12708394,378.41876,0.2579288632118839,53.0
10249,242.1424,103.64154,0.1289037,262.50006,0.1918887969264583,40.0
10250,418.49075,110.43927,0.10415693,306.05344,0.2320734512600545,35.0
10251,348.3921,104.12241,0.110602915,328.10452,0.2156346006532564,46.0
10252,3.1413553,3.0583036,0.015895557,14.658029,0.051849424583804,0.0
10253,21.25876,19.81551,0.034155115,48.61383,0.0681516162324109,0.0
10254,395.7995,122.27034,0.14775257,373.18857,0.2527341088305496,89.0
10255,648.93585,126.71713,0.13513888,474.15915,0.2668756874050528,77.0
10256,745.5082,173.52556,0.1740163,588.5593,0.2702693292563281,129.0
10257,4.428052,20.26099,0.022825083,23.186237,0.0666139749537276,0.0
10258,28.709461,40.506573,0.043783627,66.15456,0.1300344442611878,3.0
10259,198.64069,75.93758,0.0971084,219.53271,0.1981252867819594,25.0
10260,173.06352,65.336174,0.06362381,148.98283,0.2053615925508326,10.0
10261,461.39215,105.99508,0.11163639,358.0338,0.2419850916818326,45.0
10262,387.99826,134.83694,0.11809104,342.5414,0.2408258853398003,61.0
10263,126.18524,54.74642,0.08997895,147.56279,0.2042547926161037,13.0
10264,155.47763,78.934616,0.08779606,161.10913,0.2023769410012675,13.0
10265,12.039592,17.794971,0.030697476,31.784563,0.1032394133010379,1.0
10266,854.4128,167.39215,0.18297866,590.18317,0.2966444583440434,117.0
10267,16.295387,39.964634,0.031235239,55.909546,0.0761965628299786,0.0
10268,55.287777,54.213562,0.056399286,98.55041,0.145376973584902,10.0
10269,38.37015,35.189796,0.06200154,64.620674,0.1443508933853498,8.0
10270,138.90437,71.51031,0.10446305,163.85,0.2005895624382196,27.0
10271,93.821205,62.84589,0.1049214,111.704025,0.1541103254162543,11.0
10272,72.30112,55.140057,0.092912465,120.501335,0.1581657696859788,23.0
10273,86.91485,68.9471,0.07487618,138.42656,0.1760610647900384,11.0
10274,150.67387,63.18675,0.08588733,183.6219,0.1723390644016425,11.0
10275,21.328575,19.156334,0.03323207,51.092903,0.070120260959264,0.0
10276,45.862957,33.87945,0.06461498,61.30299,0.121716151810185,4.0
10277,36.43715,41.695168,0.050495856,78.58585,0.1085764278367822,2.0
10278,566.3209,146.6396,0.13021825,470.43533,0.2518033192187018,79.0
10279,119.488556,57.922714,0.07962919,151.78447,0.1857237334835955,22.0
10280,958.19135,184.08101,0.18245412,712.4232,0.3179399067155278,191.0
10281,145.88927,70.38544,0.08101187,155.10716,0.1799934503540198,12.0
10282,95.34894,72.39256,0.05523529,148.27626,0.1182643373551582,7.0
10283,31.160553,42.50842,0.033056032,67.90219,0.0915943974886187,1.0
10284,890.6239,169.6834,0.14420101,614.81384,0.2942750690422476,130.0
10285,270.8038,99.71832,0.09964986,269.52777,0.2185771570671479,30.0
10286,48.242294,46.812916,0.056827977,85.943535,0.1464570378218548,6.0
10287,6.2941284,6.7512693,0.017727168,29.764505,0.0491849803973875,0.0
