index,file,n,m,proc_time,pred_time,gt_stress,pred_stress,spc,mean_deg,max_deg,name,gviz_time
127,data/new_large_graph/qh768.mtx,768,1774,3.1101872920989986,0.08659601211547853,28019.109375,225363.53125,0.8756715018637249,4.619791666666667,13,qh768,1.5291519165039062
128,data/new_large_graph/Si2.mtx,769,9285,3.709416389465332,0.11879539489746095,80164.609375,243660.453125,0.6709986854786204,24.148244473342004,62,Si2,2.308142900466919
129,data/new_large_graph/lshp_778.mtx,778,3025,3.317079544067384,0.1106882095336914,3749.9482421875,194049.796875,0.9806753302369954,7.776349614395888,8,lshp_778,1.2808010578155518
130,data/new_large_graph/bfwa782.mtx,782,4176,3.505425453186035,0.11199593544006348,21162.748046875,31612.75,0.3305628884904034,10.680306905370843,25,bfwa782,2.1218020915985107
131,data/new_large_graph/G9.mtx,800,19176,5.292426586151123,0.1170952320098877,129895.1953125,252343.140625,0.4852438033751289,47.94,75,G9,3.29185152053833
132,data/new_large_graph/G8.mtx,800,19176,5.2861692905426025,0.11688494682312013,130403.59375,187986.875,0.306315434255716,47.94,69,G8,3.0649302005767822
133,data/new_large_graph/G10.mtx,800,19176,5.284569025039673,0.12779641151428225,129747.4609375,229939.65625,0.4357325610836213,47.94,70,G10,3.1110732555389404
134,data/new_large_graph/rdb800l.mtx,800,2720,3.4293761253356934,0.11704134941101076,10884.474609375,229233.625,0.9525179841771686,6.8,7,rdb800l,0.7994499206542969
135,data/new_large_graph/G11.mtx,800,1600,3.3003635406494136,0.11677312850952147,13295.666015625,630131.5,0.9789001723995308,4.0,4,G11,1.6995327472686768
136,data/new_large_graph/G13.mtx,800,1600,3.3332083225250244,0.1170186996459961,70943.03125,393269.625,0.8196071429366049,4.0,4,G13,1.1080682277679443
137,data/new_large_graph/G12.mtx,800,1600,3.3471372127532963,0.11657929420471193,36443.421875,558532.0,0.9347514164363008,4.0,4,G12,1.212357759475708
138,data/new_large_graph/G16.mtx,800,4672,3.4829015731811523,0.11690449714660645,105799.796875,385856.4375,0.7258052825022518,11.68,123,G16,3.153292179107666
139,data/new_large_graph/G17.mtx,800,4667,3.4404258728027344,0.11749505996704104,105278.3671875,393828.4375,0.7326796209643952,11.6675,143,G17,3.1512839794158936
140,data/new_large_graph/G15.mtx,800,4661,3.5096256732940674,0.12761187553405762,104886.1328125,386629.15625,0.7287164428316443,11.6525,153,G15,3.1636667251586914
141,data/new_large_graph/G14.mtx,800,4694,3.410119771957397,0.11684036254882812,107490.703125,384038.375,0.7201042652964043,11.735,132,G14,3.0696117877960205
142,data/new_large_graph/G19.mtx,800,4661,3.4576215744018555,0.11685848236083984,104886.1328125,386818.15625,0.7288489924327329,11.6525,153,G19,3.1468238830566406
143,data/new_large_graph/G18.mtx,800,4694,3.5328485965728764,0.11704826354980467,107490.703125,384200.03125,0.7202220344041161,11.735,132,G18,3.0961508750915527
144,data/new_large_graph/G20.mtx,800,4672,3.4152748584747314,0.11704540252685547,105799.796875,385907.0625,0.7258412525813777,11.68,123,G20,3.1438772678375244
145,data/new_large_graph/G21.mtx,800,4667,3.479823589324951,0.11690115928649902,105278.3671875,393811.5,0.7326681237406729,11.6675,143,G21,3.132899522781372
146,data/new_large_graph/G5.mtx,800,19176,5.3164188861846915,0.12733840942382812,129747.4609375,197837.390625,0.34417118762228416,47.94,70,G5,3.0577964782714844
147,data/new_large_graph/G4.mtx,800,19176,5.311654090881348,0.11690950393676758,129895.1953125,230345.703125,0.4360858763577164,47.94,75,G4,3.309044599533081
